PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.5,0.8,0.1,0.5,0.3,0.0,0.0,239125936.4,68991836.4,14252823.8,84046877.2,537,438
0.5,0.8,0.2,0.5,0.3,0.0,0.0,265054497.2,70358524.4,23054598.2,108448922.0,426,190
0.5,0.8,0.3,0.5,0.3,0.0,0.0,282455426.2,94952627.8,44292331.4,118990830.5,397,174
0.5,0.8,0.4,0.5,0.3,0.0,0.0,216994302.8,57823222.0,38868879.8,102930816.3,274,103
0.5,0.8,0.5,0.5,0.3,0.0,0.0,233093572.8,60332186.4,81044580.3,142128363.6,458,41
0.5,0.8,0.6,0.5,0.3,0.0,0.0,247970678.6,64607571.4,77963622.8,149193644.1,254,56
0.5,0.8,0.7,0.5,0.3,0.0,0.0,295648508.6,96583886.2,116173228.8,194503700.2,233,46
0.5,0.8,0.8,0.5,0.3,0.0,0.0,313315469.8,121172099.4,89400078.5,155385816.6,310,168
0.5,0.8,0.9,0.5,0.3,0.0,0.0,308211021.0,94220016.2,115831867.2,191710479.7,540,68
0.5,0.8,1.0,0.5,0.3,0.0,0.0,210722720.0,65897364.8,116103018.0,170842861.2,223,16
