PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.1,0.8,0.5,0.5,0.3,0.0,0.9,26074051.9,26074051.9,20108044.5,20108044.5,50,-1
0.2,0.8,0.5,0.5,0.3,0.0,0.9,23693995.0,23693995.0,19843978.5,19843978.5,50,-1
0.3,0.8,0.5,0.5,0.3,0.0,0.9,24190353.9,24190353.9,32539085.5,32539085.5,50,0
0.4,0.8,0.5,0.5,0.3,0.0,0.9,30670962.8,30670962.8,74128427.0,74128427.0,50,0
0.5,0.8,0.5,0.5,0.3,0.0,0.9,30244332.1,30244332.1,67620303.5,67620303.5,50,0
0.6,0.8,0.5,0.5,0.3,0.0,0.9,30191241.6,30191241.6,55026364.5,55026364.5,50,0
0.7,0.8,0.5,0.5,0.3,0.0,0.9,23162151.5,23162151.5,93044871.5,93044871.5,50,0
0.8,0.8,0.5,0.5,0.3,0.0,0.9,31408323.3,31408323.3,128032385.5,128032385.5,50,0
0.9,0.8,0.5,0.5,0.3,0.0,0.9,25267159.7,25267159.7,130951019.5,130951019.5,50,0
1.0,0.8,0.5,0.5,0.3,0.0,0.9,27278831.7,27278831.7,106934501.5,106934501.5,50,0
