MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.26,0.60,0.50,65006078,40130140,32793289,15256284,4062880,0,8125760,0,1758,913,30803536,31658684,22942899,"[]","[16,]",4062880,331,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.98,0.60,0.50,73065085,73058847,24833286,99,4566568,4559367,9133136,24149745,614,9,52542,3025304,6804711,"[]","[]",7201,170,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.13,0.60,0.50,56624108,35691083,30857963,25506571,3539007,0,7078013,0,1354,787,24824384,24421431,12480006,"[]","[5,]",3539007,280,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.99,0.60,0.50,64597276,64597276,23474667,377,4037330,4037330,8074660,22193426,605,3,60407,3147296,6208227,"[]","[]",0,136,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.65,0.60,0.50,65918810,65743549,23707602,639,4119926,3984792,8239851,17989781,963,238,1580437,4803616,9463811,"[]","[]",135133,261,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,1.00,0.60,0.50,65093339,65093339,23506440,0,4068334,4068334,8136667,22464421,603,2,5084,2903860,6274826,"[]","[]",0,93,A
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.68,0.60,0.50,67049525,66896366,31776645,533,4190595,4109536,8381191,23665490,879,177,1496963,4688505,12037525,"[]","[]",81059,228,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.66,0.60,0.50,72343970,72202994,26256740,487,4521498,4426733,9042996,19998532,894,193,1798817,5010263,10526195,"[]","[]",94765,148,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.18,0.60,0.50,62922244,37292064,36657574,30590636,3932640,0,7865280,0,1467,817,29899169,27150699,16344339,"[]","[6,]",3932640,230,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.69,0.60,0.50,66568637,66461764,27157661,690,4160540,4084598,8321080,20595977,857,173,1519457,4302515,10762373,"[]","[]",75942,245,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.67,0.60,0.50,54147484,53982544,26846425,576,3384218,3285971,6768436,18764822,886,191,1672968,4241330,10871320,"[]","[]",98247,135,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.70,0.60,0.50,60961592,60877917,23479028,154,3810099,3758012,7620199,18537724,830,169,1509831,4159983,8537129,"[]","[]",52088,177,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.71,0.60,0.50,62160201,62038502,27851261,569,3885013,3793390,7770025,19990350,856,177,1686294,4209269,11634421,"[]","[]",91623,193,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.09,0.60,0.50,72899327,53297258,28911289,28619860,4556208,0,9112416,0,1289,800,24411386,22046036,11516088,"[]","[5,]",4556208,131,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.73,0.60,0.50,71611486,71535966,31107560,207,4475718,4427715,8951436,25396511,815,145,1163896,3999929,10785872,"[]","[]",48003,125,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.05,0.60,0.50,63103848,40287503,32931367,35575255,3943990,0,7887981,0,1275,793,26778686,22191353,9813075,"[]","[4,]",3943990,141,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.72,0.60,0.50,71024286,70898809,28447133,213,4439018,4342960,8878036,22514732,845,176,1762444,4161539,10870220,"[]","[]",96058,242,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.74,0.60,0.50,80931636,80872173,22945758,237,5058227,5017318,10116454,21085542,788,121,1080035,4015209,8061596,"[]","[]",40909,189,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.06,0.60,0.50,65873881,41996285,24961001,26217641,4117118,0,8234235,0,1296,798,28095368,26141635,8830675,"[]","[5,]",4117118,331,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.16,0.60,0.50,76612282,51687452,26346828,21783841,4788268,0,9576535,0,1497,849,30819313,25988408,17864211,"[]","[9,]",4788268,254,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.03,0.60,0.50,55403249,30993422,29311709,33662087,3462703,0,6925406,0,1250,823,27872530,23464520,6983038,"[74,]","[4,]",3462703,277,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.21,0.60,0.50,57942164,39538043,23696256,10203915,3621385,0,7242770,0,1829,992,24962622,24277891,18482726,"[]","[11,]",3621385,320,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.14,0.60,0.50,57987356,38408979,28894219,26340694,3624210,0,7248419,0,1386,810,23300943,22477145,10527386,"[]","[5,]",3624210,236,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.19,0.60,0.50,58217599,39312614,29316999,15391446,3638600,0,7277200,0,1695,927,24273845,22537286,21209052,"[]","[10,]",3638600,245,E
