MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.3,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,51094624,50746163,25965585,2849,6011132,5738138,12022264,17770719,1198,429,3795248,6116646,14719091,"[]","[]",272994,434,E
0.8,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,11901430,11901430,25004587,25004587,18277196,18277196,36554392,36554392,0,0,0,0,0,"[1,]","[]",0,50,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,55465639,55170700,33619750,2472,3686008,3431596,7372015,13187206,1203,383,3423208,6192656,22158781,"[]","[]",254411,346,E
0.3,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,46556488,46118185,26772003,3396,5995911,5681676,11991823,19459076,1200,423,3448153,6681230,13372663,"[]","[]",314235,542,E
0.6,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,24805251,24805141,29442469,29428998,12590544,12590379,25181089,25171973,5,3,275,280,22582,"[1,]","[]",165,54,E
0.8,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,10282964,10282964,25337245,25337245,20799631,20799631,41599262,41599262,0,0,0,0,0,"[1,]","[]",0,50,E
0.3,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,52536397,52166514,25797348,4463,7072207,6812588,14144415,20722811,1150,385,3848441,6392056,13451935,"[]","[]",259619,466,E
0.8,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,14958793,14958793,28761627,28761627,17036403,17036403,34072805,34072805,0,0,0,0,0,"[1,]","[]",0,50,E
0.9,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,5088102,5088102,25699314,25699314,19928398,19928398,39856795,39856795,0,0,0,0,0,"[1,]","[]",0,50,E
0.8,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,14008379,14008379,33802780,33802780,19845203,19845203,39690407,39690407,0,0,0,0,0,"[1,]","[]",0,50,E
0.9,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,2443916,2443916,27708398,27708398,19754990,19754990,39509980,39509980,0,0,0,0,0,"[1,]","[]",0,50,E
0.3,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,67969178,67565485,26804374,2066,8369339,8011032,16738678,24134926,1191,398,3448032,7013574,13154486,"[]","[]",358307,332,E
0.8,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,10773304,10773304,29345508,29345508,18024567,18024567,36049133,36049133,0,0,0,0,0,"[1,]","[]",0,50,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,53746991,53401846,27259133,528,3789852,3586811,7579704,13293097,1189,383,2925806,6419304,15674094,"[]","[]",203041,415,E
0.9,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,855663,855663,23611207,23611207,21177654,21177654,42355308,42355308,0,0,0,0,0,"[1,]","[]",0,50,E
0.9,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,6935409,6935409,29113554,29113554,15604670,15604670,31209339,31209339,0,0,0,0,0,"[1,]","[]",0,50,E
