MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.20,0.60,0.60,0.50,0.80,0.30,0.60,0.50,0.60,0.50,58802138,58472149,27201475,1057,3675134,3440050,7350267,15407147,1178,365,3032036,6009912,13698699,"[]","[]",235084,283,E
0.20,0.60,0.60,0.50,0.27,0.30,0.60,0.50,0.60,0.50,71197794,70895241,25481110,814,4449862,4161686,8899724,16614762,1166,365,2867492,5462581,12893407,"[]","[]",288177,284,E
0.20,0.60,0.60,0.50,0.31,0.30,0.60,0.50,0.60,0.50,64115266,63856784,26607630,563,4007204,3776755,8014408,13741418,1110,337,3142819,5707789,15661199,"[]","[]",230449,290,E
0.20,0.60,0.60,0.50,0.06,0.30,0.60,0.50,0.60,0.50,62959820,62478797,28094076,2943,3934989,3560284,7869977,12055418,1186,378,4794519,7111353,17650068,"[]","[]",374705,199,E
0.20,0.60,0.60,0.50,0.15,0.30,0.60,0.50,0.60,0.50,62047272,61640820,27507963,391,3877955,3534755,7755909,14070472,1173,368,3457493,6204034,15738626,"[]","[]",343199,285,E
0.20,0.60,0.60,0.50,0.28,0.30,0.60,0.50,0.60,0.50,67753637,67508665,29070544,140,4234602,4041836,8469205,16686042,1156,375,3467548,5552973,15738332,"[]","[]",192766,238,E
0.20,0.60,0.60,0.50,0.73,0.30,0.60,0.50,0.60,0.50,63762949,63402923,30396195,1105,3985184,3732930,7970369,17502030,1153,380,3500837,6032974,15442735,"[]","[]",252254,289,E
0.20,0.60,0.60,0.50,0.65,0.30,0.60,0.50,0.60,0.50,59784344,59501686,31752273,865,3736521,3537203,7473043,15073203,1178,369,3602979,6688936,17944287,"[]","[]",199318,194,E
0.20,0.60,0.60,0.50,0.98,0.30,0.60,0.50,0.60,0.50,56498834,56083127,25967410,455,3531177,3303207,7062354,12427183,1181,387,5117735,7423931,13821872,"[]","[]",227970,184,E
0.20,0.60,0.60,0.50,0.84,0.30,0.60,0.50,0.60,0.50,63452546,63057810,25204863,513,3965784,3674308,7931568,13989578,1216,388,3585860,6154530,13678022,"[]","[]",291476,380,E
0.20,0.60,0.60,0.50,0.99,0.30,0.60,0.50,0.60,0.50,58533406,58257243,25479407,686,3658338,3511329,7316676,12688669,1149,357,3120537,5957869,14572031,"[]","[]",147009,432,E
0.20,0.60,0.60,0.50,0.32,0.30,0.60,0.50,0.60,0.50,59351239,58904488,30584430,561,3709452,3352737,7418905,13904054,1150,357,3502186,6290109,18612077,"[]","[]",356716,318,E
0.20,0.60,0.60,0.50,0.07,0.30,0.60,0.50,0.60,0.50,66068230,65706903,28141438,1172,4129264,3816620,8258529,14384768,1207,376,3442498,7236585,15451412,"[]","[]",312644,280,E
0.20,0.60,0.60,0.50,0.40,0.30,0.60,0.50,0.60,0.50,80135752,79699787,27002597,1875,5008484,4678573,10016969,15931144,1186,396,3817366,6355087,15497334,"[]","[]",329911,461,E
0.20,0.60,0.60,0.50,0.16,0.30,0.60,0.50,0.60,0.50,66090581,65748453,27568067,637,4130661,3891612,8261323,12829098,1228,412,4239798,6699631,16881203,"[]","[]",239050,435,E
0.20,0.60,0.60,0.50,0.66,0.30,0.60,0.50,0.60,0.50,65907806,65376401,25951268,564,4119238,3798529,8238476,11767982,1206,380,4514795,7469913,15803398,"[]","[]",320708,290,E
0.20,0.60,0.60,0.50,0.29,0.30,0.60,0.50,0.60,0.50,65492437,64989548,25926973,977,4093277,3798985,8186555,14570689,1182,387,4567759,6664485,13674557,"[]","[]",294292,411,E
0.20,0.60,0.60,0.50,0.90,0.30,0.60,0.50,0.60,0.50,70660196,70342651,25730461,908,4416262,4181713,8832524,15714510,1164,370,3398556,6351324,13048336,"[]","[]",234549,262,E
0.20,0.60,0.60,0.50,1.00,0.30,0.60,0.50,0.60,0.50,75560826,75241806,31619849,237,4722552,4513093,9445103,18150650,1210,412,4174273,6102765,17339779,"[]","[]",209458,479,E
0.20,0.60,0.60,0.50,0.74,0.30,0.60,0.50,0.60,0.50,64798103,64460473,28188133,573,4049881,3805177,8099763,12184522,1262,408,4058454,6915863,17769272,"[]","[]",244705,364,E
0.20,0.60,0.60,0.50,0.85,0.30,0.60,0.50,0.60,0.50,61040340,60624500,33778860,1001,3815021,3493534,7630042,19000976,1173,368,3066988,6588127,16556126,"[]","[]",321488,252,E
0.20,0.60,0.60,0.50,0.43,0.30,0.60,0.50,0.60,0.50,75459099,75199032,39494995,2186,4716194,4523114,9432387,24133245,1131,348,2992610,6167665,19077434,"[]","[]",193080,212,E
0.20,0.60,0.60,0.50,0.82,0.30,0.60,0.50,0.60,0.50,61238720,40870349,88320748,81768721,3827420,0,7654840,0,1382,782,24195791,23206884,15195774,"[1,]","[5,]",3827420,284,E
0.20,0.60,0.60,0.50,0.33,0.30,0.60,0.50,0.60,0.50,64407275,63915186,30187672,181,4025455,3720705,8050909,18118771,1226,406,4010057,5920486,14995982,"[]","[]",304750,346,E
0.20,0.60,0.60,0.50,0.08,0.30,0.60,0.50,0.60,0.50,59918115,59610487,26118837,104,3744882,3526056,7489764,10518961,1182,354,3755419,6222745,17393245,"[]","[]",218827,337,E
0.20,0.60,0.60,0.50,0.41,0.30,0.60,0.50,0.60,0.50,57653602,57416472,28801337,238,3603350,3430027,7206700,11631068,1165,368,3285066,5670242,19116942,"[]","[]",173323,299,E
0.20,0.60,0.60,0.50,0.17,0.30,0.60,0.50,0.60,0.50,62594758,62276508,25525481,1413,3912172,3617845,7824345,14105937,1154,349,3260895,6235968,13619086,"[]","[]",294328,261,E
0.20,0.60,0.60,0.50,0.30,0.30,0.60,0.50,0.60,0.50,55307331,54937337,30100598,781,3456708,3144349,6913416,15377390,1199,391,3657322,6185538,16132659,"[]","[]",312359,225,E
0.20,0.60,0.60,0.50,0.67,0.30,0.60,0.50,0.60,0.50,70566615,70355301,25837768,145,4410413,4287586,8820827,15558279,1168,367,3183186,6492429,12941884,"[]","[]",122827,419,E
