MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.20,0.04,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,75104616,75060687,3557827,30,4694038,4666076,9388077,9253451,86,30,315556,403888,3360426,"[]","[]",27962,86,E
0.20,0.63,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,51961098,51654777,28804748,1934,3247569,3001140,6495137,15139451,1206,350,2711112,5771891,14939358,"[]","[]",246428,177,E
0.20,0.14,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,58394395,58321220,7421952,276,3649650,3593335,7299299,9225965,271,87,735446,1196458,4428041,"[]","[]",56314,194,E
0.20,0.09,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,62663282,62612367,6032486,278,3916455,3878982,7832910,10498106,173,55,332492,732953,2722448,"[]","[]",37473,110,E
0.20,0.34,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,61956137,61673908,14600486,426,3872259,3678639,7744517,10730399,703,237,2651122,3843654,8246372,"[]","[]",193619,114,E
0.20,0.27,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,54843445,54723560,11826032,917,3427715,3358658,6855431,7956625,515,163,1460778,2675188,8237675,"[]","[]",69057,122,E
0.20,0.52,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,56516587,56271316,22554148,536,3532287,3363754,7064573,11611408,1050,317,3275393,5328447,13092134,"[]","[]",168533,176,E
0.20,0.76,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,66723603,66233432,36696011,2647,4170225,3821525,8340450,18320447,1465,460,4664119,8649900,18902338,"[]","[]",348700,213,E
0.20,0.69,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,64623227,64099658,35856359,1475,4038952,3629532,8077903,15512131,1468,483,5531048,8415660,20937985,"[]","[]",409420,498,E
0.20,0.64,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,71766922,71280836,30611758,1076,4485433,4116118,8970865,16811441,1299,439,4194391,6426401,17199107,"[]","[]",369315,276,E
0.20,0.35,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,63687505,63441172,15122282,202,3980469,3807253,7960938,9604118,741,246,2172390,3997284,9901166,"[]","[]",173216,264,E
0.20,0.38,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,67885275,67680577,15866142,365,4242830,4075762,8485659,10548971,802,276,2469694,4396178,9778053,"[]","[]",167068,344,E
0.20,0.36,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,67157571,66947548,19468794,523,4197348,4007094,8394696,14115840,694,225,2026491,4425083,9722321,"[]","[]",190254,359,E
0.20,0.39,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,66642327,66446033,14428120,130,4165145,4005209,8330291,13033189,761,230,1887638,3484526,6596796,"[]","[]",159936,221,E
0.20,0.28,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,61233606,61110449,10832402,9,3827100,3718121,7654201,10594559,580,198,1168343,2698647,5425523,"[]","[]",108980,415,E
0.20,0.18,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,60283085,60191739,6813068,635,3767693,3704014,7535386,9433270,361,120,742780,1490309,3579265,"[]","[]",63679,140,E
0.20,0.65,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,50682020,50305510,25165724,1989,3167626,2883751,6335253,11353297,1338,442,3493125,6234160,14571916,"[]","[]",283875,402,E
0.20,0.40,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,66609269,66306063,17201527,203,4163079,3924261,8326159,13235521,773,231,2345960,4383478,8450507,"[]","[]",238818,184,E
0.20,0.19,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,63856029,63781582,8545730,603,3991002,3923677,7982004,11168488,360,104,768365,1642242,3858174,"[]","[]",67325,163,E
0.20,0.29,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,54111000,53953471,12008695,319,3381938,3273480,6763875,9436457,588,196,1380063,2857844,6743936,"[]","[]",108457,259,E
0.20,0.05,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,62967449,62938061,1827005,0,3935466,3919719,7870931,7883868,111,40,528482,627587,1231616,"[]","[]",15747,62,A
0.20,0.15,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,64878072,64753099,8688309,345,4054880,3960023,8109759,9539736,302,108,1456825,2031933,5445884,"[]","[]",94856,89,E
0.20,0.10,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,63523337,63499059,3984604,739,3970209,3944875,7940417,9049393,209,67,392398,827789,2096711,"[]","[]",25333,97,E
0.20,0.53,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,61609255,61349373,32578876,1115,3850578,3697568,7701157,17190496,1025,336,3289824,5364862,18136453,"[]","[]",153011,157,E
0.20,0.20,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,53124472,53041227,10732175,709,3320279,3254250,6640559,10652333,371,118,842194,2027949,4841018,"[]","[]",66029,117,E
0.20,0.41,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,66071643,65871388,16034336,1225,4129478,3979774,8258955,10315845,828,288,2495751,3939519,10386660,"[]","[]",149704,249,E
0.20,0.30,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,83198603,83081203,10471071,343,5199913,5133993,10399825,13412569,564,175,1576917,2589107,5052198,"[]","[]",65920,212,E
0.20,0.66,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,58747219,58232908,36604457,1614,3671701,3290706,7343402,16920406,1333,444,4333063,7416451,20504695,"[]","[]",380995,267,E
0.20,0.77,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,57357847,56868569,47844304,2079,3584865,3198261,7169731,21881715,1529,485,4509267,8554326,25451798,"[]","[]",386604,302,E
