PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.5,0.1,0.5,0.5,0.3,0.0,0.6,104426600.8,104426600.8,71201203.5,71201203.5,50,-1
0.5,0.2,0.5,0.5,0.3,0.0,0.6,125048885.6,125048885.6,64100575.0,64100575.0,50,-1
0.5,0.3,0.5,0.5,0.3,0.0,0.6,107307448.0,107307448.0,58936875.5,58936875.5,50,-1
0.5,0.4,0.5,0.5,0.3,0.0,0.6,97069047.6,97069047.6,70261736.5,70261736.5,50,-1
0.5,0.5,0.5,0.5,0.3,0.0,0.6,130679636.0,130679636.0,81928299.0,81928299.0,50,-1
0.5,0.6,0.5,0.5,0.3,0.0,0.6,100698141.2,100698141.2,79265232.5,79265232.5,50,-1
0.5,0.7,0.5,0.5,0.3,0.0,0.6,112104783.6,112104783.6,61364359.5,61364359.5,50,-1
0.5,0.8,0.5,0.5,0.3,0.0,0.6,90423918.4,90423918.4,66311477.0,66311477.0,50,-1
0.5,0.9,0.5,0.5,0.3,0.0,0.6,126596149.6,126596149.6,60173491.0,60173491.0,50,-1
0.5,1.0,0.5,0.5,0.3,0.0,0.6,109407184.0,109407184.0,79831416.0,79831416.0,50,-1
