PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.1,0.8,0.5,0.5,0.3,0.0,0.0,287430770.4,65524636.8,14755389.0,107172840.0,527,441
0.2,0.8,0.5,0.5,0.3,0.0,0.0,289936071.0,87922436.6,19275423.1,103505513.6,517,369
0.3,0.8,0.5,0.5,0.3,0.0,0.0,277755325.8,89765592.2,64352502.7,134035700.0,305,98
0.4,0.8,0.5,0.5,0.3,0.0,0.0,255987331.4,62428317.8,47483041.3,128918478.4,311,87
0.5,0.8,0.5,0.5,0.3,0.0,0.0,233093572.8,60332186.4,81044580.3,142128363.6,458,41
0.6,0.8,0.5,0.5,0.3,0.0,0.0,227582846.6,64156297.8,84337637.6,154059723.4,238,30
0.7,0.8,0.5,0.5,0.3,0.0,0.0,303234105.4,79678456.6,95262485.3,186610489.7,399,63
0.8,0.8,0.5,0.5,0.3,0.0,0.0,239347051.4,66232099.4,125248235.1,190518247.2,348,24
0.9,0.8,0.5,0.5,0.3,0.0,0.0,225264746.0,62044588.4,137146550.6,195914049.8,419,12
1.0,0.8,0.5,0.5,0.3,0.0,0.0,231386925.2,78732630.8,141441264.7,202135059.4,217,7
