0.702254,0.698573,0.696287,0.691609,0.687757,0.684,0.678872,0.672393,0.668867,0.661389,0.654095
0.765529,0.764484,0.763499,0.761404,0.75964,0.758223,0.756313,0.754072,0.752393,0.748742,0.745128
0.768404,0.767612,0.76702,0.765194,0.763891,0.76287,0.761527,0.760198,0.758719,0.755743,0.752815
0.769567,0.768777,0.7683,0.766815,0.765718,0.765225,0.764162,0.763321,0.762095,0.759613,0.757109
0.769802,0.769176,0.768867,0.767596,0.766742,0.766469,0.765833,0.765356,0.764211,0.762053,0.760137
0.76965,0.769143,0.76891,0.767969,0.767224,0.767392,0.766793,0.766765,0.765756,0.763978,0.762245
0.769193,0.768673,0.768704,0.767917,0.767451,0.76765,0.767426,0.767569,0.766849,0.765306,0.76397
0.768454,0.768015,0.768164,0.767554,0.767255,0.767704,0.767706,0.768192,0.767611,0.766299,0.765311
0.7675,0.767082,0.767389,0.767003,0.766898,0.767576,0.767744,0.768467,0.768038,0.767034,0.766216
0.766359,0.765958,0.766362,0.765952,0.766129,0.767016,0.767451,0.768385,0.768197,0.767369,0.766812
0.764883,0.764317,0.764724,0.764589,0.76479,0.765866,0.766459,0.767542,0.767316,0.76668,0.766307
